Date,Open,High,Low,Close,Volume,Adj Close
2017-03-07,29.40,29.69,29.17,29.40,7806100,29.40
2017-03-06,28.90,29.69,28.68,29.52,10274400,29.52
2017-03-03,28.76,28.86,28.36,28.79,6431000,28.79
2017-03-02,29.34,29.46,28.85,28.91,7900700,28.91
2017-03-01,29.30,29.85,29.30,29.37,12244900,29.37
2017-02-28,29.52,29.54,29.07,29.22,7535500,29.22
2017-02-27,29.28,29.65,29.06,29.49,8402100,29.49
2017-02-24,29.22,29.41,29.05,29.29,5457200,29.29
2017-02-23,29.68,29.79,29.01,29.30,12040300,29.30
2017-02-22,29.06,30.30,29.01,29.82,20880200,29.82
2017-02-21,29.04,29.48,28.72,29.24,12366700,29.24
2017-02-20,28.55,29.04,28.49,28.97,9939900,28.97
2017-02-17,28.34,29.00,28.06,28.71,18987900,28.71
2017-02-16,27.79,28.40,27.70,28.14,5735500,28.14
2017-02-15,28.52,28.64,27.83,27.89,9000800,27.89
2017-02-14,28.80,28.83,28.42,28.54,6010300,28.54
2017-02-13,28.46,28.99,28.31,28.88,9688200,28.88
2017-02-10,28.71,28.79,28.37,28.44,5429700,28.44
2017-02-09,28.60,28.85,28.46,28.66,8267300,28.66
2017-02-08,28.86,28.86,28.20,28.50,6245100,28.50
2017-02-07,28.16,28.74,27.91,28.64,9770100,28.64
2017-02-06,27.65,28.10,27.51,28.06,4123600,28.06
2017-02-03,28.20,28.25,27.51,27.60,4724900,27.60
2017-02-02,28.13,28.13,28.13,28.13,000,28.13
2017-02-01,28.13,28.13,28.13,28.13,000,28.13
2017-01-31,28.13,28.13,28.13,28.13,000,28.13
2017-01-30,28.13,28.13,28.13,28.13,000,28.13
2017-01-27,28.13,28.13,28.13,28.13,000,28.13
2017-01-26,28.20,28.37,28.08,28.13,3806900,28.13
2017-01-25,28.20,28.45,28.03,28.12,3700400,28.12
2017-01-24,28.85,28.85,28.22,28.27,4004200,28.27
2017-01-23,28.49,28.99,28.35,28.80,6251100,28.80
2017-01-20,28.08,28.68,27.79,28.45,6813600,28.45
2017-01-19,28.48,29.26,28.25,28.34,9567100,28.34
2017-01-18,28.00,28.66,27.71,28.31,5382400,28.31
2017-01-17,27.75,28.25,27.16,28.06,6018000,28.06
2017-01-16,28.10,28.38,26.50,28.10,11730200,28.10
2017-01-13,28.20,28.58,27.99,28.39,6619400,28.39
2017-01-12,29.12,29.15,28.34,28.36,8347300,28.36
2017-01-11,30.31,30.31,28.88,28.96,11591200,28.96
2017-01-10,30.42,31.10,29.88,29.93,14655800,29.93
2017-01-09,29.79,30.70,29.70,30.42,12970900,30.42
2017-01-06,29.83,30.60,29.70,29.85,11948800,29.85
2017-01-05,30.00,30.08,29.57,29.80,10899500,29.80
2017-01-04,28.83,30.15,28.60,30.09,15889900,30.09
2017-01-03,28.90,29.20,28.68,28.97,8767100,28.97
2017-01-02,28.92,28.92,28.92,28.92,000,28.92
2016-12-30,29.63,29.84,28.51,28.92,12078300,28.92
2016-12-29,30.79,30.80,29.40,29.52,14088000,29.52
2016-12-28,31.04,31.04,31.04,31.04,000,31.04
2016-12-27,31.04,31.04,31.04,31.04,000,31.04
2016-12-26,31.04,31.04,31.04,31.04,000,31.04
2016-12-23,31.04,31.04,31.04,31.04,000,31.04
2016-12-22,31.04,31.04,31.04,31.04,000,31.04
2016-12-21,30.91,31.15,30.43,31.04,14725000,31.04
2016-12-20,29.80,31.26,29.75,30.83,24397200,30.83
2016-12-19,30.11,30.17,29.50,29.92,13713400,29.92
2016-12-16,31.10,31.30,30.42,30.49,32487400,30.49
2016-12-15,27.92,30.58,27.92,30.58,23609100,30.58
2016-12-14,28.26,28.26,27.60,27.80,6086000,27.80
2016-12-13,27.80,28.38,27.50,28.32,8319000,28.32
