Date,Open,High,Low,Close,Volume,Adj Close
2017-03-07,7.27,7.27,7.16,7.19,11607900,7.19
2017-03-06,7.13,7.27,7.13,7.25,13151600,7.25
2017-03-03,7.22,7.23,7.12,7.17,18171900,7.17
2017-03-02,7.27,7.43,7.23,7.28,22343500,7.28
2017-03-01,7.24,7.43,7.16,7.29,25816600,7.29
2017-02-28,7.13,7.25,7.10,7.20,16150900,7.20
2017-02-27,7.30,7.37,7.13,7.13,23154200,7.13
2017-02-24,7.38,7.42,7.26,7.32,23507700,7.32
2017-02-23,7.40,7.58,7.33,7.43,32402800,7.43
2017-02-22,7.55,7.60,7.36,7.40,39381400,7.40
2017-02-21,7.66,7.78,7.54,7.59,34052400,7.59
2017-02-20,7.57,7.68,7.52,7.66,30540900,7.66
2017-02-17,7.70,7.78,7.50,7.66,56133800,7.66
2017-02-16,7.45,8.08,7.43,7.80,97073600,7.80
2017-02-15,7.57,7.66,7.33,7.39,51633700,7.39
2017-02-14,7.32,7.74,7.25,7.67,82721200,7.67
2017-02-13,7.25,7.60,7.25,7.39,50478400,7.39
2017-02-10,7.30,7.40,7.21,7.23,39606600,7.23
2017-02-09,7.32,7.50,7.21,7.40,49307900,7.40
2017-02-08,7.20,7.41,7.15,7.38,48907300,7.38
2017-02-07,7.20,7.77,7.16,7.37,78552300,7.37
2017-02-06,7.04,7.59,6.86,7.36,71457600,7.36
2017-02-03,7.29,7.29,6.83,6.93,61380300,6.93
2017-02-02,6.71,6.71,6.71,6.71,000,6.71
2017-02-01,6.71,6.71,6.71,6.71,000,6.71
2017-01-31,6.71,6.71,6.71,6.71,000,6.71
2017-01-30,6.71,6.71,6.71,6.71,000,6.71
2017-01-27,6.71,6.71,6.71,6.71,000,6.71
2017-01-26,6.11,6.71,6.11,6.71,16130700,6.71
2017-01-25,6.03,6.12,6.03,6.10,3814200,6.10
2017-01-24,6.03,6.12,6.03,6.07,4378400,6.07
2017-01-23,6.03,6.15,5.98,6.08,7717700,6.08
2017-01-20,5.90,6.03,5.87,5.99,6356000,5.99
2017-01-19,5.89,5.92,5.85,5.91,5430100,5.91
2017-01-18,5.93,5.99,5.88,5.93,4229400,5.93
2017-01-17,5.93,5.98,5.80,5.95,6867100,5.95
2017-01-16,6.22,6.23,5.62,5.88,13678500,5.88
2017-01-13,6.38,6.40,6.23,6.23,9102500,6.23
2017-01-12,6.54,6.58,6.38,6.39,10768900,6.39
2017-01-11,6.47,6.61,6.45,6.54,18663100,6.54
2017-01-10,6.42,6.47,6.41,6.44,5860800,6.44
2017-01-09,6.37,6.45,6.37,6.43,5340800,6.43
2017-01-06,6.51,6.51,6.38,6.39,8381000,6.39
2017-01-05,6.52,6.64,6.48,6.51,11949000,6.51
2017-01-04,6.44,6.54,6.36,6.50,11013900,6.50
2017-01-03,6.35,6.43,6.35,6.42,6326600,6.42
2017-01-02,6.33,6.33,6.33,6.33,000,6.33
2016-12-30,6.39,6.39,6.32,6.33,4919400,6.33
2016-12-29,6.40,6.41,6.33,6.36,5470000,6.36
2016-12-28,6.46,6.49,6.37,6.38,7465300,6.38
2016-12-27,6.50,6.51,6.46,6.47,5134500,6.47
2016-12-26,6.48,6.50,6.37,6.48,10446100,6.48
2016-12-23,6.56,6.64,6.53,6.55,8075800,6.55
2016-12-22,6.58,6.61,6.52,6.57,10477000,6.57
2016-12-21,6.45,6.78,6.43,6.62,19240500,6.62
2016-12-20,6.44,6.47,6.37,6.40,6536600,6.40
2016-12-19,6.46,6.53,6.42,6.46,9150000,6.46
2016-12-16,6.34,6.81,6.34,6.55,18241400,6.55
2016-12-15,6.18,6.35,6.14,6.28,9217000,6.28
2016-12-14,6.34,6.37,6.23,6.23,8938800,6.23
2016-12-13,6.30,6.40,6.20,6.36,13002800,6.36
2016-12-12,7.03,7.11,6.36,6.40,26544900,6.40
2016-12-09,7.10,7.12,7.05,7.07,6840900,7.07
2016-12-08,7.16,7.16,7.08,7.09,7450500,7.09
2016-12-07,7.14,7.18,7.06,7.16,7657800,7.16
2016-12-06,7.01,7.19,7.01,7.15,8403400,7.15
2016-12-05,7.30,7.30,7.09,7.10,12753600,7.10
2016-12-02,7.41,7.45,7.30,7.30,9586300,7.30
2016-12-01,7.33,7.45,7.33,7.41,10166000,7.41
2016-11-30,7.33,7.39,7.30,7.33,8810000,7.33
2016-11-29,7.47,7.49,7.34,7.34,14530000,7.34
2016-11-28,7.46,7.52,7.44,7.47,12155600,7.47
2016-11-25,7.49,7.50,7.33,7.47,14069000,7.47
2016-11-24,7.56,7.58,7.46,7.49,12661300,7.49
2016-11-23,7.65,7.66,7.52,7.54,14814400,7.54
2016-11-22,7.60,7.65,7.55,7.64,14142300,7.64
2016-11-21,7.65,7.69,7.57,7.59,14190200,7.59
2016-11-18,7.78,7.78,7.63,7.67,18440700,7.67
2016-11-17,7.76,7.85,7.71,7.80,18828700,7.80
2016-11-16,7.82,7.85,7.73,7.79,17946800,7.79
2016-11-15,7.83,7.91,7.75,7.82,23678600,7.82
2016-11-14,7.87,7.93,7.75,7.81,34910200,7.81
2016-11-11,7.84,8.05,7.71,7.99,62625000,7.99
2016-11-10,7.69,7.95,7.58,7.85,47607300,7.85
2016-11-09,7.55,7.67,7.45,7.56,26232500,7.56
2016-11-08,7.52,7.59,7.50,7.53,14737300,7.53
2016-11-07,7.58,7.64,7.48,7.57,21271300,7.57
2016-11-04,7.45,7.73,7.42,7.66,37088400,7.66
2016-11-03,7.38,7.51,7.37,7.43,13546400,7.43
2016-11-02,7.56,7.56,7.40,7.43,16558800,7.43
2016-11-01,7.53,7.59,7.51,7.57,12782500,7.57
2016-10-31,7.55,7.58,7.48,7.53,11325100,7.53
2016-10-28,7.65,7.73,7.55,7.55,14669500,7.55
2016-10-27,7.74,7.80,7.62,7.68,18449600,7.68
2016-10-26,7.74,8.05,7.72,7.80,36521600,7.80
2016-10-25,7.58,7.80,7.56,7.78,29319000,7.78
2016-10-24,7.57,7.64,7.49,7.60,13730900,7.60
2016-10-21,7.66,7.70,7.51,7.56,15340000,7.56
2016-10-20,7.65,7.68,7.59,7.66,13979300,7.66
2016-10-19,7.70,7.76,7.61,7.64,18224600,7.64
2016-10-18,7.54,7.70,7.46,7.67,21561200,7.67
2016-10-17,7.50,7.77,7.50,7.56,22802100,7.56
2016-10-14,7.50,7.55,7.47,7.53,8202500,7.53
2016-10-13,7.52,7.58,7.50,7.52,9088800,7.52
2016-10-12,7.60,7.60,7.52,7.54,13533700,7.54
2016-10-11,7.67,7.67,7.57,7.64,13908100,7.64
2016-10-10,7.48,7.68,7.47,7.65,14865300,7.65
2016-10-07,7.47,7.47,7.47,7.47,000,7.47
2016-10-06,7.47,7.47,7.47,7.47,000,7.47
2016-10-05,7.47,7.47,7.47,7.47,000,7.47
2016-10-04,7.47,7.47,7.47,7.47,000,7.47
2016-10-03,7.47,7.47,7.47,7.47,000,7.47
2016-09-30,7.40,7.50,7.38,7.47,7898400,7.47
2016-09-29,7.38,7.47,7.38,7.40,7287000,7.40
2016-09-28,7.46,7.47,7.40,7.44,6913000,7.44
2016-09-27,7.39,7.49,7.32,7.43,9504700,7.43
2016-09-26,7.54,7.61,7.38,7.40,10317600,7.40
2016-09-23,7.70,7.70,7.54,7.57,11542800,7.57
2016-09-22,7.77,7.83,7.70,7.72,12503800,7.72
2016-09-21,7.68,7.79,7.66,7.70,9693300,7.70
2016-09-20,7.83,7.83,7.65,7.68,11154100,7.68
2016-09-19,7.60,7.98,7.59,7.78,20420700,7.78
2016-09-16,7.55,7.55,7.55,7.55,000,7.55
2016-09-15,7.55,7.55,7.55,7.55,000,7.55
2016-09-14,7.58,7.66,7.47,7.55,10765600,7.55
2016-09-13,7.64,7.72,7.57,7.60,12333500,7.60
2016-09-12,8.00,8.00,7.55,7.58,27471200,7.58
2016-09-09,8.23,8.26,8.13,8.13,15408500,8.13
2016-09-08,8.28,8.28,8.18,8.21,14946200,8.21
2016-09-07,8.23,8.46,8.21,8.30,27505500,8.30
2016-09-06,8.19,8.24,8.05,8.23,17208200,8.23
2016-09-05,8.20,8.30,8.16,8.18,16841100,8.18
2016-09-02,8.28,8.36,8.22,8.24,10822900,8.24
2016-09-01,8.40,8.44,8.28,8.29,17711100,8.29
2016-08-31,8.32,8.68,8.24,8.47,28774100,8.47
2016-08-30,8.34,8.39,8.30,8.32,9404900,8.32
2016-08-29,8.31,8.38,8.29,8.31,10673700,8.31
2016-08-26,8.36,8.45,8.32,8.37,13890100,8.37
2016-08-25,8.40,8.41,8.22,8.36,15348500,8.36
2016-08-24,8.49,8.52,8.38,8.41,15998200,8.41
2016-08-23,8.54,8.59,8.35,8.46,22754400,8.46
2016-08-22,8.67,8.67,8.41,8.50,33480200,8.50
2016-08-19,8.44,8.86,8.37,8.72,56229000,8.72
2016-08-18,8.50,8.53,8.40,8.43,20675100,8.43
2016-08-17,8.55,8.55,8.40,8.52,22370300,8.52
2016-08-16,8.51,8.62,8.50,8.55,24502300,8.55
2016-08-15,8.36,8.58,8.27,8.51,28059600,8.51
2016-08-12,8.33,8.39,8.25,8.35,14934000,8.35
2016-08-11,8.47,8.52,8.28,8.29,25553700,8.29
2016-08-10,8.48,8.77,8.39,8.56,31128700,8.56
2016-08-09,8.31,8.92,8.31,8.61,48343700,8.61
2016-08-08,8.25,8.29,8.02,8.27,16468400,8.27
2016-08-05,8.38,8.40,8.25,8.27,19502000,8.27
2016-08-04,8.24,8.63,8.23,8.44,29918300,8.44
2016-08-03,8.22,8.33,8.14,8.24,16826300,8.24
2016-08-02,8.20,8.25,8.13,8.23,14012500,8.23
2016-08-01,8.24,8.24,7.93,8.20,22761200,8.20
2016-07-29,8.41,8.44,8.13,8.20,19697800,8.20
