rate,FundID,FundName,avgIncrease,increaseRate
1,100018,富国天利增长,0.0685,-0.660
2,519039,长盛同德主题增长,0.2939,-0.377
3,290004,泰信优质生活,0.3693,-0.245
4,162102,金鹰中小盘,0.3239,-0.228
5,519181,万家和谐增长,0.2042,-0.194
6,620001,宝石动力,0.0527000000000002,-0.173
7,160610,鹏华动力增长,0.365,-0.15
8,360007,光大优势,0.1502,-0.146
9,530001,建信恒久价值,0.2462,-0.133
10,560002,益民红利成长,0.1849,-0.096
11,290002,泰信先行策略,0.1762,-0.093
12,519005,海富通股票,0.169,-0.090
13,161604,融通深证100,0.314,-0.075
14,110009,易方达价值,0.4276,-0.072
14,320001,诺安平衡,0.847,-0.072
15,100022,富国天瑞,0.3076,-0.07
16,257010,德盛小盘,0.144,-0.068
16,519011,海富通精选,0.1323,-0.068
16,162201,泰达荷银成长,0.2188,-0.068
16,310328,申万巴黎新动力,0.2543,-0.068
17,159901,深100ETF,0.904999999999999,-0.067
18,000031,华夏复兴,0.105,-0.065
19,257020,德盛精选,0.193,-0.064
20,162209,泰达荷银市值,0.1299,-0.062
21,213002,宝盈泛沿海,0.3848,-0.059
22,400003,东方精选,0.1767,-0.055
23,420001,天弘精选混合,1.3531,-0.052
24,160607,鹏华价值,0.109,-0.051
25,519013,海富通风格优势,0.304,-0.048
26,519007,海富通强化回报,0.15,-0.047
26,530005,建信优化配置,0.7217,-0.047
27,519003,海富通收益增长,0.157,-0.046
27,020001,国泰金鹰增长,0.558,-0.046
27,530003,建信优选成长,1.3516,-0.046
28,160611,鹏华优质治理,0.218,-0.045
29,121007,国投瑞福优先,0.0450000000000002,-0.043
30,080001,长盛成长价值,0.175,-0.042
31,159902,华夏中小板ETF,0.473,-0.037
32,121003,国投瑞银核心,0.2129,-0.036
32,070006,嘉实服务,0.473000000000001,-0.036
33,519015,海富通精选贰号,0.176,-0.034
33,163804,中银国际收益,0.1379,-0.034
34,162207,泰达荷银效率,0.1213,-0.032
35,000001,华夏成长,0.274,-0.030
36,002021,华夏回报二号,0.324,-0.026
37,240005,华宝多策略增长,2.0857,-0.025
38,288002,中信红利精选,0.444,-0.023
38,020011,国泰沪深300,0.00100000000000011,-0.023
39,257030,德盛优势,0.286,-0.021
40,400001,东方龙,0.843,-0.02
41,360005,光大红利股票,0.5318,-0.019
41,481004,工银成长,0.3037,-0.019
42,217009,招商核心价值,0.2627,-0.018
42,360006,光大新增长,0.2393,-0.018
42,161601,融通新蓝筹,0.1551,-0.018
43,200002,长城久泰,0.8003,-0.017
43,162202,泰达荷银周期,0.2868,-0.017
44,070003,嘉实稳健,0.2,-0.016
44,350001,天治财富增长,0.1054,-0.016
45,233001,巨田基础行业,0.4254,-0.015
46,112002,易方达策略二号,1.482,-0.014
46,110010,易方达价值成长,0.3006,-0.014
47,121005,国投瑞银创新,0.2518,-0.013
47,610001,信达澳银领先增长,0.2724,-0.013
48,162203,泰达荷银稳定,0.1593,-0.012
49,162703,广发小盘,0.5552,-0.011
49,460001,友邦盛世,1.4175,-0.011
49,240002,宝康灵活配置,0.1842,-0.011
50,110002,易方达策略成长,0.79,-0.010
51,519300,大成沪深300,0.2979,00
51,920003,中金策略,0.2332,00
51,519994,长信金利,0.1898,00
52,160605,鹏华中国50,0.323,0.0035
53,510881,友邦上证红利ETF,1.001,0.0037
54,000011,华夏大盘精选,0.795,0.0064
55,180012,银华富裕主题,0.3151,0.0066
